x,y,z,year,month,day,body
1.064693653979916E+08,2.807854503984744E+08,-7.466550372837311E+07,1920,7,22,6hebe
1.048027329092978E+08,2.817227198775036E+08,-7.457013775581887E+07,1920,7,23,6hebe
1.031326460058131E+08,2.826505913784902E+08,-7.447229031694970E+07,1920,7,24,6hebe
1.014591690723013E+08,2.835690584154731E+08,-7.437197107207730E+07,1920,7,25,6hebe
9.978236632909627E+07,2.844781150038782E+08,-7.426918975450982E+07,1920,7,26,6hebe
9.810230182789543E+07,2.853777556566473E+08,-7.416395616905561E+07,1920,7,27,6hebe
9.641903944763051E+07,2.862679753803350E+08,-7.405628019053400E+07,1920,7,28,6hebe
9.473264289041574E+07,2.871487696711770E+08,-7.394617176229332E+07,1920,7,29,6hebe
9.304317567757367E+07,2.880201345111319E+08,-7.383364089473671E+07,1920,7,30,6hebe
9.135070114573707E+07,2.888820663638947E+08,-7.371869766385542E+07,1920,7,31,6hebe
8.965528244302826E+07,2.897345621708869E+08,-7.360135220977041E+07,1920,8,01,6hebe
8.795698252531457E+07,2.905776193472223E+08,-7.348161473528206E+07,1920,8,02,6hebe
8.625586415254012E+07,2.914112357776514E+08,-7.335949550442860E+07,1920,8,03,6hebe
8.455198988513358E+07,2.922354098124828E+08,-7.323500484105280E+07,1920,8,04,6hebe
8.284542208049150E+07,2.930501402634882E+08,-7.310815312737817E+07,1920,8,05,6hebe
8.113622288953683E+07,2.938554263997855E+08,-7.297895080259389E+07,1920,8,06,6hebe
7.942445425335264E+07,2.946512679437077E+08,-7.284740836144899E+07,1920,8,07,6hebe
7.771017789989020E+07,2.954376650666545E+08,-7.271353635285661E+07,1920,8,08,6hebe
7.599345534075131E+07,2.962146183849289E+08,-7.257734537850706E+07,1920,8,09,6hebe
7.427434786804424E+07,2.969821289555629E+08,-7.243884609149158E+07,1920,8,10,6hebe
7.255291655131359E+07,2.977401982721272E+08,-7.229804919493589E+07,1920,8,11,6hebe
7.082922223454249E+07,2.984888282605331E+08,-7.215496544064364E+07,1920,8,12,6hebe
6.910332553322735E+07,2.992280212748241E+08,-7.200960562775065E+07,1920,8,13,6hebe
6.737528683152500E+07,2.999577800929569E+08,-7.186198060138959E+07,1920,8,14,6hebe
