x,y,z,year,month,day,body
-1.480310327023438E+08,8.059548726891253E+06,-2.701811634477274E+04,1924,3,17,earth
-1.481767995430439E+08,5.479704235103228E+06,-2.753698839325155E+04,1924,3,18,earth
-1.482781053540262E+08,2.898619655937100E+06,-2.806143947986967E+04,1924,3,19,earth
-1.483349971284934E+08,3.170266136966454E+05,-2.858613316967893E+04,1924,3,20,earth
-1.483475251444996E+08,-2.264355802612154E+06,-2.910524028679542E+04,1924,3,21,earth
-1.483157386875881E+08,-4.844818618958330E+06,-2.961283386036055E+04,1924,3,22,earth
-1.482396827060006E+08,-7.423658579511911E+06,-3.010340462985914E+04,1924,3,23,earth
-1.481193964674160E+08,-1.000017232031106E+07,-3.057240762519231E+04,1924,3,24,earth
-1.479549148214631E+08,-1.257365027556274E+07,-3.101671992773097E+04,1924,3,25,earth
-1.477462718722846E+08,-1.514337164938366E+07,-3.143490954135451E+04,1924,3,26,earth
-1.474935061606925E+08,-1.770860139117589E+07,-3.182727704657987E+04,1924,3,27,earth
-1.471966662056469E+08,-2.026858941144362E+07,-3.219569925515447E+04,1924,3,28,earth
-1.468558154810256E+08,-2.282257167314389E+07,-3.254334351328854E+04,1924,3,29,earth
-1.464710363499822E+08,-2.536977252838500E+07,-3.287432414440252E+04,1924,3,30,earth
-1.460424328683937E+08,-2.790940771315574E+07,-3.319335270753689E+04,1924,3,31,earth
-1.455701325743406E+08,-3.044068759646033E+07,-3.350541019605659E+04,1924,4,01,earth
-1.450542874237392E+08,-3.296282045379102E+07,-3.381545335589536E+04,1924,4,02,earth
-1.444950739983898E+08,-3.547501563114607E+07,-3.412816083897278E+04,1924,4,03,earth
-1.438926930782856E+08,-3.797648649107980E+07,-3.444772420719452E+04,1924,4,04,earth
-1.432473686715872E+08,-4.046645302810826E+07,-3.477768897572532E+04,1924,4,05,earth
-1.425593466297875E+08,-4.294414404897108E+07,-3.512084871126898E+04,1924,4,06,earth
-1.418288930153465E+08,-4.540879885458540E+07,-3.547919014627673E+04,1924,4,07,earth
-1.410562924055066E+08,-4.785966843010754E+07,-3.585388095953315E+04,1924,4,08,earth
-1.402418462940059E+08,-5.029601622584187E+07,-3.624528667760268E+04,1924,4,09,earth
-1.393858716947203E+08,-5.271711867157212E+07,-3.665300081972033E+04,1924,4,10,earth
-1.384886999716765E+08,-5.512226559599205E+07,-3.707587349201739E+04,1924,4,11,earth
-1.375506758330498E+08,-5.751076071748346E+07,-3.751202780380473E+04,1924,4,12,earth
-1.365721563422924E+08,-5.988192233317557E+07,-3.795886024559289E+04,1924,4,13,earth
-1.355535097237192E+08,-6.223508425727964E+07,-3.841303045360744E+04,1924,4,14,earth
-1.344951136846919E+08,-6.456959693734635E+07,-3.887045781005919E+04,1924,4,15,earth
-1.333973529727461E+08,-6.688482849782478E+07,-3.932635657100007E+04,1924,4,16,earth
-1.322606159915057E+08,-6.918016523517904E+07,-3.977535429815575E+04,1924,4,17,earth
-1.310852905838884E+08,-7.145501088813610E+07,-4.021174175888672E+04,1924,4,18,earth
-1.298717595725494E+08,-7.370878398843636E+07,-4.062988303197548E+04,1924,4,19,earth
-1.286203971839218E+08,-7.594091295890936E+07,-4.102476300177351E+04,1924,4,20,earth
-1.273315677261508E+08,-7.815082942175123E+07,-4.139257648821548E+04,1924,4,21,earth
-1.260056274747333E+08,-8.033796110694760E+07,-4.173120866199583E+04,1924,4,22,earth
-1.246429296506632E+08,-8.250172620541151E+07,-4.204046707936376E+04,1924,4,23,earth
-1.232438312241721E+08,-8.464153057489175E+07,-4.232200979570299E+04,1924,4,24,earth
-1.218086997652764E+08,-8.675676810906725E+07,-4.257902228794619E+04,1924,4,25,earth
-1.203379189183971E+08,-8.884682353066412E+07,-4.281576287035644E+04,1924,4,26,earth
-1.188318919051455E+08,-9.091107641300564E+07,-4.303709636226669E+04,1924,4,27,earth
-1.172910431958313E+08,-9.294890538669057E+07,-4.324809200476855E+04,1924,4,28,earth
-1.157158188516555E+08,-9.495969192352910E+07,-4.345371186131984E+04,1924,4,29,earth
-1.141066860624779E+08,-9.694282349687923E+07,-4.365858302585781E+04,1924,4,30,earth
-1.124641322584584E+08,-9.889769616020474E+07,-4.386683423835039E+04,1924,5,01,earth
-1.107886640024596E+08,-1.008237166697923E+08,-4.408197828747332E+04,1924,5,02,earth
-1.090808057466320E+08,-1.027203042640607E+08,-4.430682790585607E+04,1924,5,03,earth
-1.073410984778129E+08,-1.045868921621010E+08,-4.454343923132867E+04,1924,5,04,earth
-1.055700982687834E+08,-1.064229287999355E+08,-4.479308061438054E+04,1924,5,05,earth
-1.037683747711321E+08,-1.082278788052668E+08,-4.505622507299483E+04,1924,5,06,earth
-1.019365097051909E+08,-1.100012237230103E+08,-4.533256292566657E+04,1924,5,07,earth
-1.000750954047315E+08,-1.117424625346639E+08,-4.562102866929024E+04,1924,5,08,earth
-9.818473345053665E+07,-1.134511120482751E+08,-4.591983464297652E+04,1924,5,09,earth
-9.626603337903483E+07,-1.151267072560232E+08,-4.622650463232398E+04,1924,5,10,earth
-9.431961138778314E+07,-1.167688017501694E+08,-4.653790397006273E+04,1924,5,11,earth
-9.234608889016421E+07,-1.183769682450740E+08,-4.685026913291216E+04,1924,5,12,earth
-9.034609071343505E+07,-1.199507991634168E+08,-4.715924929916859E+04,1924,5,13,earth
-8.832024271484903E+07,-1.214899071005459E+08,-4.745998414104432E+04,1924,5,14,earth
-8.626916865749982E+07,-1.229939247873621E+08,-4.774725366255641E+04,1924,5,15,earth
-8.419348640545893E+07,-1.244625039765161E+08,-4.801574059242755E+04,1924,5,16,earth
-8.209380390916258E+07,-1.258953126032671E+08,-4.826043234927952E+04,1924,5,17,earth
-7.997071598335965E+07,-1.272920298170963E+08,-4.847714651864767E+04,1924,5,18,earth
-7.782480324451002E+07,-1.286523391836275E+08,-4.866309377375245E+04,1924,5,19,earth
-7.565663434170637E+07,-1.299759213543055E+08,-4.881732757271826E+04,1924,5,20,earth
-7.346677158456306E+07,-1.312624482027216E+08,-4.894092467378825E+04,1924,5,21,earth
-7.125577868332441E+07,-1.325115801810252E+08,-4.903682331448793E+04,1924,5,22,earth
-6.902422847764023E+07,-1.337229674353440E+08,-4.910937654113024E+04,1924,5,23,earth
