x,y,z,year,month,day,body
1.511962370551954E+08,-2.912284405338777E+08,-3.639347543519989E+06,1984,2,25,8flora
1.525835542656151E+08,-2.902007870127645E+08,-3.811081700215593E+06,1984,2,26,8flora
1.539666334248174E+08,-2.891650201813433E+08,-3.982710433616221E+06,1984,2,27,8flora
1.553454254187239E+08,-2.881211488320785E+08,-4.154228692044467E+06,1984,2,28,8flora
1.567198810191019E+08,-2.870691820460278E+08,-4.325631402111337E+06,1984,2,29,8flora
1.580899508847334E+08,-2.860091291952481E+08,-4.496913468739197E+06,1984,3,01,8flora
1.594555855626125E+08,-2.849409999452101E+08,-4.668069775187254E+06,1984,3,02,8flora
1.608167354891745E+08,-2.838648042572209E+08,-4.839095183079153E+06,1984,3,03,8flora
1.621733509915550E+08,-2.827805523908547E+08,-5.009984532433987E+06,1984,3,04,8flora
1.635253822888805E+08,-2.816882549063922E+08,-5.180732641699404E+06,1984,3,05,8flora
1.648727794935900E+08,-2.805879226672672E+08,-5.351334307787791E+06,1984,3,06,8flora
1.662154926127890E+08,-2.794795668425206E+08,-5.521784306114957E+06,1984,3,07,8flora
1.675534715496352E+08,-2.783631989092617E+08,-5.692077390642077E+06,1984,3,08,8flora
1.688866661047566E+08,-2.772388306551366E+08,-5.862208293920040E+06,1984,3,09,8flora
1.702150259777035E+08,-2.761064741808028E+08,-6.032171727136970E+06,1984,3,10,8flora
1.715385007684324E+08,-2.749661419024101E+08,-6.201962380168855E+06,1984,3,11,8flora
1.728570399788244E+08,-2.738178465540884E+08,-6.371574921632782E+06,1984,3,12,8flora
1.741705930142372E+08,-2.726616011904392E+08,-6.541003998943657E+06,1984,3,13,8flora
1.754791091850920E+08,-2.714974191890348E+08,-6.710244238373742E+06,1984,3,14,8flora
1.767825377084939E+08,-2.703253142529203E+08,-6.879290245115548E+06,1984,3,15,8flora
1.780808277098889E+08,-2.691453004131218E+08,-7.048136603347868E+06,1984,3,16,8flora
1.793739282247551E+08,-2.679573920311581E+08,-7.216777876304984E+06,1984,3,17,8flora
1.806617882003300E+08,-2.667616038015561E+08,-7.385208606349230E+06,1984,3,18,8flora
1.819443564973752E+08,-2.655579507543704E+08,-7.553423315047190E+06,1984,3,19,8flora
1.832215818919748E+08,-2.643464482577052E+08,-7.721416503248692E+06,1984,3,20,8flora
1.844934130773733E+08,-2.631271120202395E+08,-7.889182651169866E+06,1984,3,21,8flora
1.857597986658508E+08,-2.618999580937548E+08,-8.056716218479395E+06,1984,3,22,8flora
