x,y,z,date,body
-1.668501942337435E+08,2.698707596292219E+08,5.846123363001585E+06,1952-Nov-01,8flora
-2.137011993322463E+08,2.453654366109185E+08,1.126506611068501E+07,1952-Dec-01,8flora
-2.563460508084554E+08,2.134126111756298E+08,1.656066031568705E+07,1953-Jan-01,8flora
-2.924783228846027E+08,1.760111825494148E+08,2.143632525823896E+07,1953-Feb-01,8flora
-3.191700398676479E+08,1.385950759297893E+08,2.540651797495677E+07,1953-Mar-01,8flora
-3.419371844801074E+08,9.424371501148693E+07,2.926116494424297E+07,1953-Apr-01,8flora
-3.571191558560218E+08,4.940745876457751E+07,3.240614684750692E+07,1953-May-01,8flora
-3.657771593178466E+08,2.098812434924658E+06,3.501815724077792E+07,1953-Jun-01,8flora
-3.674882256813317E+08,-4.374538856622986E+07,3.690841178497711E+07,1953-Jul-01,8flora
-3.625815363847675E+08,-9.032779474406917E+07,3.819145712114519E+07,1953-Aug-01,8flora
-3.511707581490998E+08,-1.353037017109447E+08,3.878994897705005E+07,1953-Sep-01,8flora
-3.342516631262437E+08,-1.765864822095070E+08,3.872089830881129E+07,1953-Oct-01,8flora
-3.110700951523188E+08,-2.162387648206197E+08,3.798963456656289E+07,1953-Nov-01,8flora
-2.835225005851121E+08,-2.510804053623407E+08,3.665841237177303E+07,1953-Dec-01,8flora
-2.502374543556234E+08,-2.828189955151817E+08,3.465997785557210E+07,1954-Jan-01,8flora
-2.125782743282008E+08,-3.096297007983463E+08,3.205646554171193E+07,1954-Feb-01,8flora
-1.752916649992158E+08,-3.291358949386012E+08,2.921380387261280E+07,1954-Mar-01,8flora
-1.309878077275936E+08,-3.450209615063564E+08,2.556177550885957E+07,1954-Apr-01,8flora
-8.575102615951990E+07,-3.542200708920223E+08,2.156872264266630E+07,1954-May-01,8flora
-3.735621237220585E+07,-3.568980613679327E+08,1.702745774683812E+07,1954-Jun-01,8flora
1.022444655457187E+07,-3.525067212221365E+08,1.229841573410413E+07,1954-Jul-01,8flora
5.916559884326539E+07,-3.404375063105762E+08,7.150174313271210E+06,1954-Aug-01,8flora
1.067410831930619E+08,-3.204999437703819E+08,1.837123349900395E+06,1954-Sep-01,8flora
1.502785406820661E+08,-2.936494454844103E+08,-3.348422819531724E+06,1954-Oct-01,8flora
1.913156270685825E+08,-2.582238833371863E+08,-8.616372173061654E+06,1954-Nov-01,8flora
2.258022377632169E+08,-2.168729385781798E+08,-1.347855929626025E+07,1954-Dec-01,8flora
2.545165513949762E+08,-1.675390906401268E+08,-1.808687223541266E+07,1955-Jan-01,8flora
2.746722283842604E+08,-1.125949940960377E+08,-2.208476487069288E+07,1955-Feb-01,8flora
2.843547792755860E+08,-5.943214502001844E+07,-2.501080357974266E+07,1955-Mar-01,8flora
2.846163722399603E+08,1.512377388833208E+06,-2.732507015443639E+07,1955-Apr-01,8flora
2.738123943578452E+08,6.042550797290449E+07,-2.850105735135888E+07,1955-May-01,8flora
2.511877006407655E+08,1.187080976217943E+08,-2.851880944152793E+07,1955-Jun-01,8flora
2.188401236526780E+08,1.701637838623379E+08,-2.734682419862546E+07,1955-Jul-01,8flora
1.759750195827008E+08,2.159159352558885E+08,-2.495092739911447E+07,1955-Aug-01,8flora
1.254868722032834E+08,2.522687230230436E+08,-2.147002752224813E+07,1955-Sep-01,8flora
7.159504923876707E+07,2.773398246908563E+08,-1.723837455504321E+07,1955-Oct-01,8flora
1.312317916484110E+07,2.922846179469923E+08,-1.218637884805487E+07,1955-Nov-01,8flora
-4.394336204458251E+07,2.962383420592610E+08,-6.856119479759395E+06,1955-Dec-01,8flora
-1.013577178162993E+08,2.900643920819989E+08,-1.111693883640304E+06,1956-Jan-01,8flora
-1.554586985401250E+08,2.744289764522918E+08,4.670365252517343E+06,1956-Feb-01,8flora
-2.018455667477816E+08,2.522913728125957E+08,9.956283175452948E+06,1956-Mar-01,8flora
-2.459414251306908E+08,2.218210794736958E+08,1.533554185393015E+07,1956-Apr-01,8flora
-2.825462804381987E+08,1.868443171257923E+08,2.016501215690716E+07,1956-May-01,8flora
-3.136440328751115E+08,1.462702050113981E+08,2.467615675129502E+07,1956-Jun-01,8flora
-3.369848784598725E+08,1.038431926304879E+08,2.851217276550900E+07,1956-Jul-01,8flora
-3.540298122820079E+08,5.783396584778403E+07,3.187833420871138E+07,1956-Aug-01,8flora
-3.639156041902533E+08,1.065482211508082E+07,3.460107615399413E+07,1956-Sep-01,8flora
-3.667891727348009E+08,-3.520839276269305E+07,3.660107562386052E+07,1956-Oct-01,8flora
-3.630465032879257E+08,-8.194798446774454E+07,3.799879811443967E+07,1956-Nov-01,8flora
-3.531840962308571E+08,-1.257819121851826E+08,3.869977621425775E+07,1956-Dec-01,8flora
-3.368633079860898E+08,-1.688876672167856E+08,3.875340223284994E+07,1957-Jan-01,8flora
-3.146845307276358E+08,-2.090606082320358E+08,3.813448853767460E+07,1957-Feb-01,8flora
-2.899675475512519E+08,-2.422647280981925E+08,3.701003622463241E+07,1957-Mar-01,8flora
-2.578466105978828E+08,-2.750283130205067E+08,3.515842297818314E+07,1957-Apr-01,8flora
-2.224745365961317E+08,-3.021831378164263E+08,3.278404317435519E+07,1957-May-01,8flora
-1.820495571331601E+08,-3.249794193296872E+08,2.976099608885166E+07,1957-Jun-01,8flora
-1.397713135561520E+08,-3.414388653399335E+08,2.632205862893263E+07,1957-Jul-01,8flora
-9.351047920966733E+07,-3.521617275019588E+08,2.228547595331094E+07,1957-Aug-01,8flora
-4.541910921636294E+07,-3.560325923229356E+08,1.781590532755619E+07,1957-Sep-01,8flora
2.024779802174125E+06,-3.528640955503342E+08,1.314413404509443E+07,1957-Oct-01,8flora
5.100897510293013E+07,-3.421135908124883E+08,8.039868245497644E+06,1957-Nov-01,8flora
9.732656633761491E+07,-3.242514774878437E+08,2.924495173819631E+06,1957-Dec-01,8flora
1.428469078912296E+08,-2.979885450708376E+08,-2.429756380173028E+06,1958-Jan-01,8flora
1.846228620623564E+08,-2.638789574899140E+08,-7.719249040869445E+06,1958-Feb-01,8flora
2.178997367986659E+08,-2.266002797630881E+08,-1.231209411920679E+07,1958-Mar-01,8flora
2.483727495609725E+08,-1.787539975938355E+08,-1.703256524821465E+07,1958-Apr-01,8flora
2.700690365756388E+08,-1.267985496167834E+08,-2.106502867036548E+07,1958-May-01,8flora
2.830209270904434E+08,-6.867258802491830E+07,-2.448997506478470E+07,1958-Jun-01,8flora
2.852768322387608E+08,-9.888100154673133E+06,-2.691321562110451E+07,1958-Jul-01,8flora
2.762400258491839E+08,5.123857220716370E+07,-2.834070971349724E+07,1958-Aug-01,8flora
2.554871781208584E+08,1.102059376774275E+08,-2.856287575492864E+07,1958-Sep-01,8flora
2.247676135491102E+08,1.627271504627560E+08,-2.758668161027920E+07,1958-Oct-01,8flora
1.832858650193136E+08,2.099264281369621E+08,-2.537802785405765E+07,1958-Nov-01,8flora
1.354984350466636E+08,2.469042088758628E+08,-2.218065526958945E+07,1958-Dec-01,8flora
8.048472621127951E+07,2.748045084789999E+08,-1.794922268727712E+07,1959-Jan-01,8flora
2.220991442420042E+07,2.915820532326151E+08,-1.298749442111863E+07,1959-Feb-01,8flora
-3.121469934362205E+07,2.971739138672700E+08,-8.071427202497602E+06,1959-Mar-01,8flora
-8.923224290335073E+07,2.932705761675779E+08,-2.358479497657433E+06,1959-Apr-01,8flora
-1.425715673239598E+08,2.802303408834547E+08,3.248325973234817E+06,1959-May-01,8flora
-1.933600268240893E+08,2.583114645162552E+08,8.943352810242623E+06,1959-Jun-01,8flora
-2.372905572471924E+08,2.301221711422944E+08,1.421547925519210E+07,1959-Jul-01,8flora
-2.765272792469381E+08,1.950622238080297E+08,1.929480241792554E+07,1959-Aug-01,8flora
-3.089957362509075E+08,1.552469343908746E+08,2.390290952844289E+07,1959-Sep-01,8flora
-3.336923378628103E+08,1.133417751413548E+08,2.784352827053734E+07,1959-Oct-01,8flora
-3.521423092630699E+08,6.766742516925982E+07,3.132591319145180E+07,1959-Nov-01,8flora
-3.631639103643480E+08,2.215887189667282E+07,3.408912996575984E+07,1959-Dec-01,8flora
-3.676021924202186E+08,-2.526518717444609E+07,3.629222653132091E+07,1960-Jan-01,8flora
-3.651695232334167E+08,-7.220169592542054E+07,3.781749273156453E+07,1960-Feb-01,8flora
-3.569048765337586E+08,-1.149288241195109E+08,3.862515140598125E+07,1960-Mar-01,8flora
-3.419679999165437E+08,-1.586050930521720E+08,3.882778585736867E+07,1960-Apr-01,8flora
-3.218454379084125E+08,-1.982385293179949E+08,3.838099916705190E+07,1960-May-01,8flora
-2.955954599012620E+08,-2.358071572896189E+08,3.726844539664792E+07,1960-Jun-01,8flora
-2.653375061026117E+08,-2.682863128545277E+08,3.558022744450061E+07,1960-Jul-01,8flora
-2.295472970011614E+08,-2.972456080723143E+08,3.322875222000712E+07,1960-Aug-01,8flora
-1.897147763526598E+08,-3.209518702562985E+08,3.029207841919638E+07,1960-Sep-01,8flora
-1.479058569393739E+08,-3.383728524296559E+08,2.692986322370715E+07,1960-Oct-01,8flora
-1.020107911933519E+08,-3.501663920121872E+08,2.296409546556389E+07,1960-Nov-01,8flora
-5.571648673548909E+07,-3.551270495319897E+08,1.870363504812710E+07,1960-Dec-01,8flora
-6.788091358195853E+06,-3.531717573583142E+08,1.393066395511341E+07,1961-Jan-01,8flora
4.227557694262086E+07,-3.436686020233946E+08,8.861442910240352E+06,1961-Feb-01,8flora
8.579071341801633E+07,-3.283814330666924E+08,4.108065199265361E+06,1961-Mar-01,8flora
1.319505396569301E+08,-3.039149858852150E+08,-1.243894133988366E+06,1961-Apr-01,8flora
1.733687673223450E+08,-2.727327884151787E+08,-6.392564015244126E+06,1961-May-01,8flora
2.113794537111074E+08,-2.330230931241989E+08,-1.153414520574020E+07,1961-Jun-01,8flora
2.420896902619449E+08,-1.878816455682386E+08,-1.617858705120180E+07,1961-Jul-01,8flora
2.660269925555359E+08,-1.352135240909669E+08,-2.045530229696625E+07,1961-Aug-01,8flora
2.805822485936505E+08,-7.777629328126571E+07,-2.401027390643587E+07,1961-Sep-01,8flora
