x,y,z,date,body
-2.399016130775923E+08,2.770877068173010E+08,2.056216809681116E+07,1955-Jul-01,4vesta
-2.719235893842097E+08,2.389945683425618E+08,2.562794185450035E+07,1955-Aug-01,4vesta
-2.985576144358752E+08,1.961881194298181E+08,3.018650295151027E+07,1955-Sep-01,4vesta
-3.185026394246309E+08,1.509371951856998E+08,3.400972717331110E+07,1955-Oct-01,4vesta
-3.324324706986687E+08,1.010413555768606E+08,3.724771461398415E+07,1955-Nov-01,4vesta
-3.389100534246780E+08,5.062750163067263E+07,3.959819761022046E+07,1955-Dec-01,4vesta
-3.379291696228459E+08,-2.589436918348547E+06,4.113146496281840E+07,1956-Jan-01,4vesta
-3.288649970344961E+08,-5.573641900895482E+07,4.168267142016357E+07,1956-Feb-01,4vesta
-3.129881419403107E+08,-1.042239712266853E+08,4.126344808383194E+07,1956-Mar-01,4vesta
-2.882420148116944E+08,-1.534365949491972E+08,3.979175415722305E+07,1956-Apr-01,4vesta
-2.570092872927628E+08,-1.972067421925268E+08,3.736500684687179E+07,1956-May-01,4vesta
-2.178531339005618E+08,-2.371483401630474E+08,3.385923869965988E+07,1956-Jun-01,4vesta
-1.741665750216058E+08,-2.695418070475237E+08,2.957028674561569E+07,1956-Jul-01,4vesta
-1.241806710685891E+08,-2.955289355827830E+08,2.431928256077126E+07,1956-Aug-01,4vesta
-7.063470159894393E+07,-3.131140018380043E+08,1.837631630722722E+07,1956-Sep-01,4vesta
-1.685454726489994E+07,-3.216486687819445E+08,1.212433899600795E+07,1956-Oct-01,4vesta
3.920535849455012E+07,-3.215118226901216E+08,5.327281010740682E+06,1956-Nov-01,4vesta
9.246595323562036E+07,-3.128266513916999E+08,-1.395566027982995E+06,1956-Dec-01,4vesta
1.450333818567238E+08,-2.954235785125663E+08,-8.304626152885437E+06,1957-Jan-01,4vesta
1.937693283220052E+08,-2.701283085147406E+08,-1.499400289651586E+07,1957-Feb-01,4vesta
2.335390026888655E+08,-2.412348243399734E+08,-2.070840550091739E+07,1957-Mar-01,4vesta
2.720024571244921E+08,-2.035069037482699E+08,-2.653827373833534E+07,1957-Apr-01,4vesta
3.030037673786242E+08,-1.622858743715877E+08,-3.157213923824637E+07,1957-May-01,4vesta
3.281256077067734E+08,-1.159701076536844E+08,-3.605140080763794E+07,1957-Jun-01,4vesta
