x,y,z,date,body
-3.890164373189843E+08,1.403981346133594E+08,3.833220426111614E+07,1951-Oct-01,hebe
-4.059331193342503E+08,1.013312154728519E+08,4.904414376395129E+07,1951-Nov-01,hebe
-4.173840594603747E+08,6.228564872517800E+07,5.881775555609403E+07,1951-Dec-01,hebe
-4.241650633397443E+08,2.118559868445701E+07,6.820456092347962E+07,1952-Jan-01,hebe
-4.258731517760077E+08,-2.017209716467994E+07,7.677593229878156E+07,1952-Feb-01,hebe
-4.229548804656540E+08,-5.866050147764062E+07,8.398217010335091E+07,1952-Mar-01,hebe
-4.151097291524677E+08,-9.914124830603653E+07,9.074513084502327E+07,1952-Apr-01,hebe
-4.029859631615795E+08,-1.372419595730851E+08,9.630027874435133E+07,1952-May-01,hebe
-3.859191962172462E+08,-1.750646355856372E+08,1.009548299614290E+08,1952-Jun-01,hebe
-3.651681829763158E+08,-2.097542968071483E+08,1.043523833461928E+08,1952-Jul-01,hebe
-3.395374332442124E+08,-2.431912846912916E+08,1.066650045786895E+08,1952-Aug-01,hebe
-3.098683768287470E+08,-2.737381599521418E+08,1.077087076862100E+08,1952-Sep-01,hebe
-2.775498584726956E+08,-3.001226936307804E+08,1.074662009836728E+08,1952-Oct-01,hebe
-2.407118778208334E+08,-3.236576444820393E+08,1.058806284412434E+08,1952-Nov-01,hebe
-2.020472139796749E+08,-3.423901125098354E+08,1.030213385750887E+08,1952-Dec-01,hebe
-1.593638395826054E+08,-3.571078017707555E+08,9.867132001622090E+07,1953-Jan-01,hebe
-1.143664079748899E+08,-3.666368890833273E+08,9.288698714551735E+07,1953-Feb-01,hebe
-7.218950265858021E+07,-3.703868896877481E+08,8.642786579044756E+07,1953-Mar-01,hebe
-2.438880396298205E+07,-3.687316004861921E+08,7.792531224232846E+07,1953-Apr-01,hebe
2.228443063560338E+07,-3.609182261436037E+08,6.838273023466823E+07,1953-May-01,hebe
7.007643306531301E+07,-3.460457960200995E+08,5.723581678550646E+07,1953-Jun-01,hebe
1.149378002039484E+08,-3.247889237912979E+08,4.531187975451821E+07,1953-Jul-01,hebe
1.586977600261880E+08,-2.955616045740563E+08,3.198080406866635E+07,1953-Aug-01,hebe
1.984864726895443E+08,-2.589753332016969E+08,1.785566887469614E+07,1953-Sep-01,hebe
2.318253484287014E+08,-2.168364837307052E+08,3.721855898095489E+06,1953-Oct-01,hebe
2.594438871492730E+08,-1.669608700023908E+08,-1.098240654526082E+07,1953-Nov-01,hebe
2.781695568931391E+08,-1.135545508905735E+08,-2.487276321519054E+07,1953-Dec-01,hebe
2.879827174615153E+08,-5.453129299523755E+07,-3.836323021163684E+07,1954-Jan-01,hebe
2.871802988302424E+08,6.469337458304685E+06,-5.043400460477759E+07,1954-Feb-01,hebe
2.769934938012621E+08,6.139364650180647E+07,-5.968367763850839E+07,1954-Mar-01,hebe
2.554568685829303E+08,1.198280888103823E+08,-6.769439124866903E+07,1954-Apr-01,hebe
2.251586666769820E+08,1.719482573640209E+08,-7.294243524262889E+07,1954-May-01,hebe
1.854805130755565E+08,2.193658061409524E+08,-7.564428832957773E+07,1954-Jun-01,hebe
1.406789953055120E+08,2.577046096746544E+08,-7.565205624102303E+07,1954-Jul-01,hebe
8.970004661686337E+07,2.886900789671569E+08,-7.313040831623857E+07,1954-Aug-01,hebe
3.589514531209115E+07,3.105844748608088E+08,-6.830468968691999E+07,1954-Sep-01,hebe
-1.718107713742831E+07,3.232229860333008E+08,-6.174999527109840E+07,1954-Oct-01,hebe
-7.156704069242261E+07,3.278712598903792E+08,-5.337050143172535E+07,1954-Nov-01,hebe
-1.225687092200922E+08,3.248290191163507E+08,-4.402952948167557E+07,1954-Dec-01,hebe
-1.725999088186423E+08,3.146349800495159E+08,-3.342148695261692E+07,1955-Jan-01,hebe
-2.191439721959731E+08,2.980799343660119E+08,-2.213546791083181E+07,1955-Feb-01,hebe
-2.576963058029314E+08,2.783417563763219E+08,-1.157942609743486E+07,1955-Mar-01,hebe
-2.961214626177310E+08,2.519265482452474E+08,2.933623235694766E+05,1955-Apr-01,hebe
-3.287693800245653E+08,2.224934343603347E+08,1.178226814609575E+07,1955-May-01,hebe
-3.576169807214946E+08,1.887799395986301E+08,2.347880274518205E+07,1955-Jun-01,hebe
-3.806860754884427E+08,1.535881936088536E+08,3.448261689777422E+07,1955-Jul-01,hebe
