x,y,z,date,body
-1.133495870796668E+08,-9.964707331276207E+07,-2.147473042380810E+04,1952-May-01,earth
-4.908135257552066E+07,-1.438492696891417E+08,-2.569672270113975E+04,1952-Jun-01,earth
2.584425575982016E+07,-1.502257697722022E+08,-2.593133906577528E+04,1952-Jul-01,earth
9.633344774250457E+07,-1.177697065621414E+08,-2.223713432659209E+04,1952-Aug-01,earth
1.411735355366030E+08,-5.408741130001584E+07,-1.575466421310976E+04,1952-Sep-01,earth
1.482534213510345E+08,2.152758295704538E+07,-8.371249709628522E+03,1952-Oct-01,earth
1.152240571239391E+08,9.336697669089194E+07,-1.780723621934652E+03,1952-Nov-01,earth
5.204245438145484E+07,1.376457396800005E+08,1.864926156863570E+03,1952-Dec-01,earth
-2.773371227786896E+07,1.439817671217006E+08,1.536999851673841E+03,1953-Jan-01,earth
-9.936836655706920E+07,1.082382634074922E+08,-3.082234048061073E+03,1953-Feb-01,earth
-1.397263154013524E+08,4.836591522523728E+07,-1.022681509238854E+04,1953-Mar-01,earth
-1.461692995250948E+08,-3.059191140719303E+07,-1.899966362486966E+04,1953-Apr-01,earth
-1.135170173334945E+08,-9.932627976394346E+07,-2.647455501084775E+04,1953-May-01,earth
-4.943394928823270E+07,-1.438019019708177E+08,-3.136996579202265E+04,1953-Jun-01,earth
2.547623848960301E+07,-1.504964781490977E+08,-3.225405690421909E+04,1953-Jul-01,earth
9.612104463138491E+07,-1.183381288882860E+08,-2.916172631487250E+04,1953-Aug-01,earth
1.412535846343478E+08,-5.483938131737688E+07,-2.277327834884822E+04,1953-Sep-01,earth
1.486761548000679E+08,2.075690279466535E+07,-1.534699618994538E+04,1953-Oct-01,earth
1.159755278815982E+08,9.275670115467578E+07,-8.601327193036675E+03,1953-Nov-01,earth
5.299992920089447E+07,1.373309293303824E+08,-5.147294351637363E+03,1953-Dec-01,earth
-2.674368916433716E+07,1.440410988720785E+08,-5.970077016413212E+03,1954-Jan-01,earth
-9.853839577484615E+07,1.086327322116885E+08,-1.130295090413839E+04,1954-Feb-01,earth
-1.391610767220675E+08,4.895354787404843E+07,-1.854951568460837E+04,1954-Mar-01,earth
-1.459532485153743E+08,-2.996840788983870E+07,-2.777292684829980E+04,1954-Apr-01,earth
-1.135974735520247E+08,-9.883860198442103E+07,-3.532976020884514E+04,1954-May-01,earth
-4.969792024511032E+07,-1.435826340321958E+08,-3.986925914923847E+04,1954-Jun-01,earth
2.519086703030125E+07,-1.505853811054285E+08,-4.029749473299086E+04,1954-Jul-01,earth
9.597881152065600E+07,-1.187114174743701E+08,-3.671935360114276E+04,1954-Aug-01,earth
1.413841436947403E+08,-5.538927474860343E+07,-3.037683258039504E+04,1954-Sep-01,earth
1.491338596379539E+08,2.018718688470920E+07,-2.333367562749051E+04,1954-Oct-01,earth
1.167483572196843E+08,9.234075859939350E+07,-1.729295722651482E+04,1954-Nov-01,earth
5.397198476798293E+07,1.372048187121869E+08,-1.433040561997145E+04,1954-Dec-01,earth
-2.574235059155867E+07,1.442811914074926E+08,-1.530876386716217E+04,1955-Jan-01,earth
-9.769702819792734E+07,1.092034763920025E+08,-2.010008090554923E+04,1955-Feb-01,earth
-1.385911707150756E+08,4.971313984613710E+07,-2.700965080988780E+04,1955-Mar-01,earth
-1.457293028831269E+08,-2.916833720382117E+07,-3.527808334849589E+04,1955-Apr-01,earth
-1.136739334299009E+08,-9.816388981344108E+07,-4.228083449987322E+04,1955-May-01,earth
-4.997450353184957E+07,-1.431618164939838E+08,-4.672618099182099E+04,1955-Jun-01,earth
2.487065994147050E+07,-1.504682690296064E+08,-4.741412845581770E+04,1955-Jul-01,earth
9.577616433675084E+07,-1.188869049294407E+08,-4.440911061979830E+04,1955-Aug-01,earth
1.414390103770136E+08,-5.575786029875715E+07,-3.840662837655842E+04,1955-Sep-01,earth
1.495097236970237E+08,1.978649085068034E+07,-3.127311060765851E+04,1955-Oct-01,earth
1.174406282407826E+08,9.208660845295052E+07,-2.461742029718310E+04,1955-Nov-01,earth
5.486283062446300E+07,1.372414803749656E+08,-2.089195210587978E+04,1955-Dec-01,earth
-2.482358383045469E+07,1.446934317737960E+08,-2.106954804491997E+04,1956-Jan-01,earth
-9.694880629236525E+07,1.099575230640989E+08,-2.564478401514888E+04,1956-Feb-01,earth
