x,y,z,date,body
2.108538712818258E+08,-2.947070722140403E+07,-6.276112680626381E+06,1952-Dec-01,itokawa
2.266816049742241E+08,2.997215433333852E+07,-6.172265914232503E+06,1953-Jan-01,itokawa
2.244567944459943E+08,8.713734344988418E+07,-5.576156911912076E+06,1953-Feb-01,itokawa
2.092181117082092E+08,1.337851758696003E+08,-4.707896290191263E+06,1953-Mar-01,itokawa
1.800623516597708E+08,1.774659363992157E+08,-3.471420601087458E+06,1953-Apr-01,itokawa
1.417553738254037E+08,2.098163233377714E+08,-2.080246367966861E+06,1953-May-01,itokawa
9.407404230820042E+07,2.311348093371835E+08,-5.252374315599799E+05,1953-Jun-01,itokawa
4.249223657602309E+07,2.383275130151726E+08,1.009076843229875E+06,1953-Jul-01,itokawa
-1.346966276561052E+07,2.300578327372265E+08,2.523904445434287E+06,1953-Aug-01,itokawa
-6.823236838194762E+07,2.040024100129240E+08,3.838916932443142E+06,1953-Sep-01,itokawa
-1.149084271230440E+08,1.604338822720675E+08,4.760770161112137E+06,1953-Oct-01,itokawa
-1.488705498573997E+08,9.631266318502530E+07,5.129572634489134E+06,1953-Nov-01,itokawa
-1.577499092082060E+08,1.931765299676035E+07,4.665073963063237E+06,1953-Dec-01,itokawa
-1.310214634963702E+08,-6.358356926370905E+07,3.132846785335790E+06,1954-Jan-01,itokawa
-6.596832283432183E+07,-1.272743282146883E+08,6.895708218400851E+05,1954-Feb-01,itokawa
1.148017307184590E+07,-1.513762457115209E+08,-1.737500158980273E+06,1954-Mar-01,itokawa
9.463304996094318E+07,-1.399191016127134E+08,-3.995584859313302E+06,1954-Apr-01,itokawa
1.582195920259473E+08,-1.020722772713127E+08,-5.451398406645171E+06,1954-May-01,itokawa
2.019494564295912E+08,-4.831333639401306E+07,-6.194275829719612E+06,1954-Jun-01,itokawa
2.237762442995299E+08,8.944993454695689E+06,-6.281644552002156E+06,1954-Jul-01,itokawa
2.276188887473364E+08,6.743500575197579E+07,-5.846082764310542E+06,1954-Aug-01,itokawa
2.151971597239400E+08,1.211621906749880E+08,-4.992342848461717E+06,1954-Sep-01,itokawa
1.901676006003967E+08,1.658771709724853E+08,-3.864001555023998E+06,1954-Oct-01,itokawa
1.532463886263577E+08,2.023591321871855E+08,-2.474173213655204E+06,1954-Nov-01,itokawa
1.090363366845192E+08,2.264341999237823E+08,-9.926431725439280E+05,1954-Dec-01,itokawa
5.702369959495920E+07,2.379070675658505E+08,5.933687631660104E+05,1955-Jan-01,itokawa
1.428462746292069E+06,2.339184101976241E+08,2.137206900764301E+06,1955-Feb-01,itokawa
-4.885151531632088E+07,2.154719332147698E+08,3.395183951802298E+06,1955-Mar-01,itokawa
-1.000399771776365E+08,1.770718782150103E+08,4.493083547097601E+06,1955-Apr-01,itokawa
-1.386701063636563E+08,1.212155787493128E+08,5.071212463076822E+06,1955-May-01,itokawa
-1.576435943772374E+08,4.615419342062956E+07,4.911421660130821E+06,1955-Jun-01,itokawa
-1.446185822290663E+08,-3.497241038063671E+07,3.785157847637530E+06,1955-Jul-01,itokawa
-9.213625329740933E+07,-1.083123916232143E+08,1.609339976359896E+06,1955-Aug-01,itokawa
-1.063154183264304E+07,-1.478554966383922E+08,-1.076992049999364E+06,1955-Sep-01,itokawa
7.245462694515572E+07,-1.464652812240716E+08,-3.427004142846219E+06,1955-Oct-01,itokawa
1.437874932878388E+08,-1.136253540236400E+08,-5.149843887198992E+06,1955-Nov-01,itokawa
1.920416806588663E+08,-6.443773222154500E+07,-6.064108923476681E+06,1955-Dec-01,itokawa
2.202503540051570E+08,-6.041549003869455E+06,-6.322573889511969E+06,1956-Jan-01,itokawa
2.287062738158366E+08,5.309338504320507E+07,-6.012456534519188E+06,1956-Feb-01,itokawa
2.211978275552200E+08,1.049974854192191E+08,-5.315705867978416E+06,1956-Mar-01,itokawa
1.992327441347196E+08,1.538121719338398E+08,-4.236655702526368E+06,1956-Apr-01,itokawa
1.665620259817925E+08,1.922673957838903E+08,-2.949669648210287E+06,1956-May-01,itokawa
1.233321847790106E+08,2.209570394402036E+08,-1.453403833027989E+06,1956-Jun-01,itokawa
7.460629772749470E+07,2.362910505356438E+08,7.473831630122662E+04,1956-Jul-01,itokawa
1.978945397399053E+07,2.374920622832241E+08,1.644408728476122E+06,1956-Aug-01,itokawa
-3.624733867627295E+07,2.219551543443539E+08,3.092831555640802E+06,1956-Sep-01,itokawa
-8.740414184064163E+07,1.893146446593994E+08,4.243145112634942E+06,1956-Oct-01,itokawa
-1.308506904019435E+08,1.362987591456221E+08,4.984359297920503E+06,1956-Nov-01,itokawa
-1.552179854765854E+08,6.730588668508716E+07,5.034179229836516E+06,1956-Dec-01,itokawa
-1.506711104111369E+08,-1.569062684328433E+07,4.131296795150485E+06,1957-Jan-01,itokawa
-1.069233543408307E+08,-9.354822852953683E+07,2.161524233090371E+06,1957-Feb-01,itokawa
-3.828529170850704E+07,-1.392139812910461E+08,-2.161286091052666E+05,1957-Mar-01,itokawa
4.872891359090367E+07,-1.500068898964369E+08,-2.791520621065110E+06,1957-Apr-01,itokawa
1.232849340471052E+08,-1.261550982885057E+08,-4.689884196750678E+06,1957-May-01,itokawa
1.799864652053310E+08,-7.961851279787354E+07,-5.869208356596734E+06,1957-Jun-01,itokawa
2.135681133835778E+08,-2.451796433524680E+07,-6.311281272837154E+06,1957-Jul-01,itokawa
2.280383008088308E+08,3.497079369470312E+07,-6.169018984013667E+06,1957-Aug-01,itokawa
2.246450250858289E+08,9.188780146224245E+07,-5.542733798261996E+06,1957-Sep-01,itokawa
2.069304122099297E+08,1.411910734323274E+08,-4.580107457753874E+06,1957-Oct-01,itokawa
1.761914885711068E+08,1.836481397756441E+08,-3.310899309724733E+06,1957-Nov-01,itokawa
1.366509250438213E+08,2.145601477150288E+08,-1.898935059710115E+06,1957-Dec-01,itokawa
8.801400886474045E+07,2.341460992110304E+08,-3.338266097769588E+05,1958-Jan-01,itokawa
3.406400235231394E+07,2.393480766047492E+08,1.248366712771773E+06,1958-Feb-01,itokawa
-1.663262809423043E+07,2.301278672651431E+08,2.603728554824814E+06,1958-Mar-01,itokawa
-7.118538035140342E+07,2.028199197108519E+08,3.900197931104854E+06,1958-Apr-01,itokawa
-1.172243646654855E+08,1.579659275051816E+08,4.791117554833233E+06,1958-May-01,itokawa
-1.498797895844354E+08,9.260283722127202E+07,5.110374929316297E+06,1958-Jun-01,itokawa
-1.566962243057275E+08,1.489521406570805E+07,4.579867878071016E+06,1958-Jul-01,itokawa
-1.272419298084931E+08,-6.747582533156231E+07,2.974482333955489E+06,1958-Aug-01,itokawa
-6.003159597116746E+07,-1.289124622395502E+08,4.904665454741120E+05,1958-Sep-01,itokawa
2.349998950648931E+07,-1.505201462142051E+08,-2.086604324316531E+06,1958-Oct-01,itokawa
1.048299444333547E+08,-1.344781445246483E+08,-4.250324651754312E+06,1958-Nov-01,itokawa
1.655577458889532E+08,-9.403079123763607E+07,-5.600799425513532E+06,1958-Dec-01,itokawa
2.062510541029908E+08,-3.907499720023428E+07,-6.246396270864276E+06,1959-Jan-01,itokawa
2.257404883780446E+08,2.030794438415845E+07,-6.247768628360684E+06,1959-Feb-01,itokawa
2.272928758587208E+08,7.283254010420959E+07,-5.802918504012112E+06,1959-Mar-01,itokawa
2.137980658490750E+08,1.261240358590979E+08,-4.923055184344642E+06,1959-Apr-01,itokawa
1.878952725874456E+08,1.702553116068032E+08,-3.775663474568345E+06,1959-May-01,itokawa
1.502329771742987E+08,2.059961308760368E+08,-2.372034733843297E+06,1959-Jun-01,itokawa
1.054628396196707E+08,2.292322023554304E+08,-8.827544293288887E+05,1959-Jul-01,itokawa
5.304966192930219E+07,2.397143193737078E+08,7.050560060602278E+05,1959-Aug-01,itokawa
-2.727413160331866E+06,2.346068888286628E+08,2.243307777485833E+06,1959-Sep-01,itokawa
